Group;Kingdom;Phylum;Class;Order;Family;Genus;Species;scientificName_used_in_dataset;scientificName_harmonized;taxonRank_of_scientificName;Reference_taxonRank_WoRMS;Reference_taxonRank_NCBI;Reference_taxonRank_GTDB;Status_of_name_worms;environment_worms;Date_of_access_WORMS_or_NCBI;metabolism;In_symbiosis_or_freeliving_reference;Singular_or_colony_forming_reference;Synonyms_if_available;Notes
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Rivulariaceae;Calothrix;NA;Calothrix;Calothrix;GENUS;PRESENT;PRESENT;not_found;accepted;marine_fresh_terrestrial;15.04.20;Photoautotroph;In_symbiosis_with_Chaetoceros_(Luo_et_al_2012)_yet_some_cells_are_free_living_(Forster_et_al_2011);NA;Dillwynella bory, Rivulariopsis, Vitrinella;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Nostocaceae;Richelia;NA;Richelia;Richelia;GENUS;PRESENT;PRESENT;not_found;accepted;marine ;15.04.20;Photoautotroph;In_symbiosis_with_Hemiaulus_and_Rhizosolenia_(Luo_et_al_2012)_yet_some_cells_are_free_living_(Foster_et_al_2011);NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Nostocaceae;Richelia;Richelia intracellularis;Richelia intracellularis;Richelia intracellularis;SPECIES;PRESENT;PRESENT;not_found;accepted;marine;15.04.20;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Phormidiaceae;Trichodesmium;Trichodesmium ehrenbergii;Trichodesmium ehrenbergii Montagne;Trichodesmium hildebrandtii;SPECIES;PRESENT;PRESENT;not_found;uncertain;marine;18.11.22;Photoautotroph;NA;Colony_forming_or_single_filaments;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;NA;Trichodesmium;Trichodesmium;GENUS;PRESENT;PRESENT;not_found;accepted;marine_brackish_fresh_terrestrial;15.04.20;Photoautotroph;NA;Colony_forming_or_single_filaments;Trichodesmium thiebautii;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;NA;NA;NA;Heterocyst.Richelia.Calothris;Heterocyst_Richelia_Calothrix;GENUS;NA;NA;NA;NA;NA;NA;Photoautotroph;In_symbiosis_with_Hemiaulus_and_Rhizosolenia_(Luo_et_al_2012)_yet_some_cells_are_free_living_(Foster_et_al_2011);NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanobacteria incertae sedis;NA;NA;Skujaella;Skujaella thiebautii;Skujaella thiebautii (Gomont ex Gomont) J.de Toni, 1939;Trichodesmium thiebautii;SPECIES;PRESENT;PRESENT;not_found;unaccepted;marine;18.11.22;Photoautotroph;NA;Colony_forming_or_single_filaments;Trichodesmium thiebautii;
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;Trichodesmium contortum;Trichodesmium contortum;Trichodesmium contortum;SPECIES;PRESENT;PRESENT;not_found;accepted;marine;20.05.20;Photoautotroph;NA;NA;Xanthotrichum contortum ;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;Trichodesmium erythraeum;Trichodesmium erythraeum;Trichodesmium erythraeum;SPECIES;PRESENT;PRESENT;not_found;accepted;marine;20.05.20;Photoautotroph;NA;NA;Oscillaria erythraea, Oscillatoria erythraea, Skujaella erythraea, Trichodesmium hindsii;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;Trichodesmium lacustre;Trichodesmium lacustre;Trichodesmium lacustre;SPECIES;PRESENT;not_found;not_found;accepted;marine_brackish_fresh_terrestrial;20.05.20;Photoautotroph;NA;NA;Oscillatoria lacustris, Skujaella lacustris;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Nostocaceae;Trichodesmium;Trichodesmium thiebautii;Trichodesmium thiebautii;Trichodesmium thiebautii;SPECIES;PRESENT;PRESENT;not_found;accepted;marine;20.05.20;Photoautotroph;NA;NA;Skujaella thiebautii;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Atelocyanobacterium;Atelocyanobacterium thalassa;Atelocyanobacterium;Atelocyanobacterium;GENUS;not_found;PRESENT;not_found;not_found;not_found;23.02.22;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;NA;NA;NA;NA;UCYN;UCYN;SPECIES_CLUSTER;NA;NA;NA;NA;not_found;15.04.20;Photoautotroph;NA;NA;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Atelocyanobacterium;Atelocyanobacterium thalassa;UCYN.A;UCYN.A;SPECIES;not_found;PRESENT;not_found;not_found;not_found;21.11.22;Photoautotroph;In_symbiosis_with_Braruudosphaera_bigelowii_a_Prymnesiophyceae_(Hagino_et_al_2013)_or_attached_to_larger_unidentified_eukaryotic_cells_(Krupke_et_al_2013)_and_some_cells_are_free_living_(Krupke_et_al_2013);singular;UCYN group A/cyanobacterium UCYN-A/unicellular N2-fixing cyanobacteria group A;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Atelocyanobacterium;Atelocyanobacterium thalassa;UCYN.A1;UCYN.A1;ECOTYPE;not_found;not_found;not_found;not_found;not_found;15.04.20;Photoautotroph;In_symbiosis_with_oceanic_Braruudosphaera_bigelowii_and_some_individuals_free_living_(Cabello_2016);singular;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Atelocyanobacterium;Atelocyanobacterium thalassa;UCYN.A2;UCYN.A2;ECOTYPE;not_found;not_found;not_found;not_found;not_found;15.04.20;Photoautotroph;In_symbiosis_with_coastal_Braruudosphaera_bigelowii_and_some_individuals_free_living_(Cabello_2016);singular;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Atelocyanobacterium;Atelocyanobacterium thalassa;UCYN.A2.A3;UCYN.A2.A3;ECOTYPE;not_found;not_found;not_found;not_found;not_found;15.04.20;Photoautotroph;In_symbiosis_with_coastal_Braruudosphaera_bigelowii_and_some_individuals_free_living_(Cabello_2016);singular;NA;NA
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanobacteriaceae;Crocosphaera;Crocosphaera watsonii;UCYN.B;UCYN.B;SPECIES;PRESENT;not_found;not_found;unaccepted;not_found;15.04.20;Photoautotroph;NA;NA;UCYN group B;Including_Crocosphaera_watsonii_(which_is_cultivable)_and_closely_related_species_which_are_genetically_very_similar_but_phenotypes_differ_quite_a_bit_Crocosphaera_watsonii_is_accepted_as_Cyanobium_waterburyi_WORMS
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanobacteriaceae;Crocosphaera;Crocosphaera watsonii;Crocosphaera watsonii;UCYN.B;SPECIES;PRESENT;not_found;not_found;unaccepted;not_found;15.04.20;Photoautotroph;NA;NA;UCYN group B;Including_Crocosphaera_watsonii_(which_is_cultivable)_and_closely_related_species_which_are_genetically_very_similar_but_phenotypes_differ_quite_a_bit_Crocosphaera_watsonii_is_accepted_as_Cyanobium_waterburyi_WORMS
Cyano;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Cyanothecaceae;Cyanothece;NA;Cyanothece;Cyanothece;GENUS;PRESENT;PRESENT;not_found;accepted;marine_brackish_fresh_terrestrial;15.04.20;Photoautotroph;NA;NA;UCYN group C;NA
